No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
44,CYS312Lec1,Cryptographic Algorithms And Protocols,3,"Satrya, Gandeva",MGT-204,M,1:00:00 PM,3:59:00 PM,46,31
45,CYS412Lec1,Mobile And Wireless Security,4,"Satrya, Gandeva",MGT-106,T,6:00:00 PM,8:59:00 PM,24,14
,,,,"Seyam, Ahmed",HUB-118 Robotic Lab,R,7:00:00 PM,8:59:00 PM,24,14
46,CYS414Lec1,Penetration Testing And Ethical Hacking,3,"Faheem, Yasir",HUB-116 Electronic Lab,R,9:00:00 AM,11:59:00 AM,20,9
47,ELC323Lec1,Instrumentation & Measurements,3,"Majeed, Salih",HUB-114,M,11:00:00 AM,12:59:00 PM,18,17
,,,,"Majeed, Salih",HUB-116 Electronic Lab,M,1:00:00 PM,2:59:00 PM,18,17
48,ELC323Lec2,Instrumentation & Measurements,3,"Majeed, Salih",HUB-114,M,11:00:00 AM,12:59:00 PM,18,13
,,,,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,T,4:00:00 PM,5:59:00 PM,18,13
49,ELC412Lec1,Digital System Design,3,"El Khatib, Ziad",HUB-118 Robotic Lab,M,7:00:00 PM,8:59:00 PM,24,17
,,,,"El Khatib, Ziad",MGT-203,F,10:00:00 AM,11:59:00 AM,24,17
50,ENG101LecEE1,Digital Logic,4,"Yousefi, Adel",HUB-116 Electronic Lab,M,3:00:00 PM,4:59:00 PM,20,8
,,,,"Moussa, Sherif",HUB-114,R,6:00:00 PM,8:59:00 PM,20,8
51,ENG210Lec1,Computer Architecture,4,"Kaur, Kuljeet",MGT-208,M,9:00:00 AM,11:59:00 AM,24,24
,,,,"Sadek, Zeyad Remah",HUB-117 Software Lab,W,5:00:00 PM,6:59:00 PM,24,24
52,ENG210Lec2,Computer Architecture,4,"Kaur, Kuljeet",MGT-208,M,9:00:00 AM,11:59:00 AM,22,21
,,,,"Sadek, Zeyad Remah",HUB-117 Software Lab,R,10:00:00 AM,11:59:00 AM,22,21
