No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
154,GED101LecE-102,Applications Of Computer Software,3,"IP, IP",MGT-104,T,11:00:00 AM,12:59:00 PM,24,24
,,,,"IP, IP",e-Business Computer Lab,W,1:00:00 PM,2:59:00 PM,24,24
155,GED101LecE-201,Applications Of Computer Software,3,"IP, IP",MGT-104,M,9:00:00 AM,10:59:00 AM,24,16
,,,,"IP, IP",e-Business Computer Lab,T,1:00:00 PM,2:59:00 PM,24,16
156,GED101LecE-202,Applications Of Computer Software,3,"IP, IP",MGT-104,M,9:00:00 AM,10:59:00 AM,24,24
,,,,"IP, IP",e-Business Computer Lab,W,9:00:00 AM,10:59:00 AM,24,24
157,GED101LecE-301,Applications Of Computer Software,3,"IP, IP",General Computer Lab,M,3:00:00 PM,4:59:00 PM,24,23
,,,,"IP, IP",MGT-209,T,3:00:00 PM,4:59:00 PM,24,23
158,GED101LecE-302,Applications Of Computer Software,3,"IP, IP",MGT-209,T,3:00:00 PM,4:59:00 PM,24,23
,,,,"IP, IP",General Computer Lab,R,3:00:00 PM,4:59:00 PM,24,23
159,GED101LecE-401,Applications Of Computer Software,3,"IP, IP",General Computer Lab,M,1:00:00 PM,2:59:00 PM,24,3
,,,,"IP, IP",MGT-104,W,5:00:00 PM,6:59:00 PM,24,3
160,GED101LecE-402,Applications Of Computer Software,3,"IP, IP",e-Business Computer Lab,T,7:00:00 PM,8:59:00 PM,24,4
,,,,"IP, IP",MGT-104,W,5:00:00 PM,6:59:00 PM,24,4
161,GED101LecE-501,Applications Of Computer Software,3,"IP, IP",e-Business Computer Lab,W,3:00:00 PM,4:59:00 PM,24,2
,,,,"IP, IP",MGT-104,R,7:00:00 PM,8:59:00 PM,24,2
162,GED101LecE-502,Applications Of Computer Software,3,"IP, IP",e-Business Computer Lab,M,7:00:00 PM,8:59:00 PM,24,3
,,,,"IP, IP",MGT-104,R,7:00:00 PM,8:59:00 PM,24,3
163,GED110LecE-101,Modern Art Appreciation,3,"IP, IP",MGT-204,M,11:00:00 AM,12:59:00 PM,18,2
,,,,"IP, IP",HUB-125,T,7:00:00 PM,8:59:00 PM,18,2
164,GED110LecE-102,Modern Art Appreciation,3,"IP, IP",MGT-204,M,11:00:00 AM,12:59:00 PM,18,4
,,,,"IP, IP",HUB-125,T,5:00:00 PM,6:59:00 PM,18,4
165,GED110LecE-201,Modern Art Appreciation,3,"IP, IP",MGT-101,T,1:00:00 PM,2:59:00 PM,18,3
