No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
53,BCS311Lec2,Scientific Computing,3,"Yousefi, Adel",HUB-118 Robotic Lab,M,9:00:00 AM,10:59:00 AM,20,8
,,,,"IP, IP",MGT-204,T,7:00:00 PM,8:59:00 PM,20,8
54,BCS311Lec3,Scientific Computing,3,"IP, IP",HUB-114,M,10:00:00 AM,11:59:00 AM,20,5
,,,,"IP, IP",HUB-118 Robotic Lab,T,5:00:00 PM,6:59:00 PM,20,5
55,BCS311Lec4,Scientific Computing,3,"IP, IP",HUB-114,M,10:00:00 AM,11:59:00 AM,20,11
,,,,"IP, IP",HUB-118 Robotic Lab,T,9:00:00 AM,10:59:00 AM,20,11
56,BCS401Lec1,Ethics For Computing Professionals,3,"IP, IP",HUB-114,W,3:00:00 PM,5:59:00 PM,40,25
57,BCS401Lec2,Ethics For Computing Professionals,3,"IP, IP",MGT-101,M,9:00:00 AM,11:59:00 AM,40,3
58,BCS401Lec3,Ethics For Computing Professionals,3,"IP, IP",HUB-114,T,6:00:00 PM,8:59:00 PM,40,4
59,BCS402Lec1,Computability And Complexity,3,"IP, IP",MGT-103,W,6:00:00 PM,8:59:00 PM,30,8
60,BCS410Prj1,Computer Science Project,6,Staff,,N\A,12:00:00 AM,12:00:00 AM,25,3
61,BIO102Lec1,Biology 1,3,"Nazih, Wissam Ghach",MGT-204,T,5:00:00 PM,6:59:00 PM,12,9
,,,,"Salhab, Rina",HUB-202,R,9:00:00 AM,10:59:00 AM,12,9
62,BIO102Lec2,Biology 1,3,"Nazih, Wissam Ghach",MGT-204,T,5:00:00 PM,6:59:00 PM,12,12
,,,,"Salhab, Rina",HUB-202,W,1:00:00 PM,2:59:00 PM,12,12
63,BIO102Lec3,Biology 1,3,"Nazih, Wissam Ghach",MGT-204,T,5:00:00 PM,6:59:00 PM,12,4
,,,,"Salhab, Rina",HUB-202,W,3:00:00 PM,4:59:00 PM,12,4
64,BSD310Lec1,Game Design,3,"IP, IP",HUB-115 Networking Lab,M,1:00:00 PM,2:59:00 PM,24,1
,,,,"IP, IP",MGT-106,T,5:00:00 PM,6:59:00 PM,24,1
65,BSD311Lec35,Human Computer Interaction,3,"IP, IP",MGT-106,R,6:00:00 PM,8:59:00 PM,32,6
66,BSD403Lec1,Software Requirement,3,"IP, IP",MGT-106,R,9:00:00 AM,11:59:00 AM,30,0
